,Character,Text,total_number,Label
136,Katara,  i told you  hes the real thing gran gran  i finally found a bender to teach me ,1,positive
138,Katara,but hes special  i can tell    i sense hes filled with much wisdom ,1,positive
140,Aang,  see  now my tongue is stuck to my staff ,1,positive
142,Iroh,  again ,1,positive
144,Iroh,  no    power in firebending comes from the breath    not the muscles    the breath becomes energy in the body  the energy extends past your limbs and becomes  fire    get it right this time ,1,positive
145,Zuko,  enough  ive been drilling this sequence all day  teach me the next set  im more than ready ,1,positive
146,Iroh,no  you are impatient    you have yet to master your basics    drill it again ,1,positive
148,Zuko,  the sages tell us that the avatar is the last airbender    he must be over a hundred years old by now  hes had a century to master the four elements  ill need more than basic firebending to defeat him    you will teach me the advanced set ,1,positive
149,Iroh,  very well    but first  i must finish my roast duck   ,1,positive
151,Sokka,  now men  its important that you show no fear when you face a firebender    in the water tribe  we fight to the last man standing  for without courage  how can we call ourselves men   ,1,positive
154,Sokka,  listen  until your fathers return from the war  theyre counting on you to be the men of this tribe  and that means no potty breaks   ,1,positive
156,Sokka,  okay  who else has to go ,1,positive
158,Katara,  have you seen aang  gran gran said he disappeared over an hour ago ,1,positive
160,Aang,  wow  everything freezes in there ,1,positive
162,Sokka,  uh    katara  get him out of here  this lesson is for warriors only ,1,positive
166,Sokka,  stop  stop it right now    whats wrong with you   we dont have time for fun and games with the war going on ,1,positive
168,Aang,  what war  what are you talking about ,1,positive
169,Sokka,  youre kidding  right ,1,positive
171,Aang,  penguin ,1,positive
173,Sokka,hes kidding  right ,1,positive
175,Katara,aang ,1,positive
176,Aang,  hey  come on little guy  wanna go sledding    heh heh  i have a way with animals ,1,positive
178,Katara,  hehehe  aang  ill help you catch a penguin if you teach me waterbending ,1,positive
179,Aang,  you got a deal  just one little problem       im an airbender  not a waterbender  isnt there someone in your tribe who can teach you ,1,positive
180,Katara,  no  youre looking at the only waterbender in the whole south pole ,1,positive
181,Aang,this isnt right  a waterbender needs to master water    what about the north pole  theres another water tribe up there  right  maybe they have waterbenders who could teach you ,1,positive
182,Katara,maybe  but we havent had contact with our sister tribe in a long time  its not exactly  turn right at the second glacier   its on the other side of the world ,1,positive
183,Aang,but you forget  i have a flying bison    appa and i can personally fly you to the north pole  katara  were going to find you a master ,1,positive
184,Katara,  thats     i mean  i dont know  ive never left home before ,1,positive
185,Aang,well  you think about it  but in the meantime  can you teach me catch one of these penguins ,1,positive
186,Katara,  okay  listen closely my young pupil    catching penguins is an ancient and sacred art    observe ,1,positive
188,Aang,hi hi hi  ha  ha  ha ,1,positive
190,Katara,  i havent done this since i was a kid ,1,positive
191,Aang,you still are a kid ,1,positive
193,Aang,  whoa  what is that ,1,positive
194,Katara,  a fire navy ship  and a very bad memory for my people    aang  stop  were not allowed to go near it  the ship could be booby trapped ,1,positive
195,Aang,if you want to be a bender  you have to let go of fear ,1,positive
197,Katara,  this ship has haunted my tribe since gran gran was a little girl    it was part of the fire nations first attacks ,1,positive
198,Aang,okay  back up  i have friends all over the world  even in the fire nation    ive never seen any war ,1,positive
199,Katara,aang  how long were you in that iceberg ,1,positive
200,Aang,  i dont know  a few days  maybe ,1,positive
201,Katara,i think it was more like a hundred years ,1,positive
202,Aang,  what   thats impossible  do i look like a hundred twelve year old man to you ,1,positive
203,Katara,think about it  the war is a century old  you dont know about it because  somehow  you were in there the whole time    its the only explanation ,1,positive
205,Aang,a hundred years    i cant believe it ,1,positive
206,Katara,  im sorry  aang  maybe somehow theres a bright side to all this    ,1,positive
207,Aang,  i did get to meet you ,1,positive
208,Katara,  come on  lets get out of here ,1,positive
210,Katara,aang  lets head back  this place is creepy ,1,positive
212,Aang,huh ,1,positive
214,Aang,whats that you said about booby traps ,1,positive
216,Aang,uh oh       hold on tight ,1,positive
217,Katara,aaah ,1,positive
219,Zuko,the last airbender    quite agile for his old age    wake my uncle  tell him i found the avatar    as well as his hiding place    ,1,positive
225,Sokka,  i knew it    you signaled the fire navy with that flare  youre leading them straight to us  arent you ,2,positive
226,Katara,  aang didnt do anything  it was an accident ,2,positive
227,Aang,  yeah  we were on the ship and there was this booby trap  and  well         we booby ed right into it ,2,positive
229,Aang,  dont blame katara  i brought her there  its my fault ,2,positive
230,Sokka,  aha  the traitor confesses  warriors  away from the enemy    the foreigner is banished from our village ,2,positive
231,Katara,  sokka  youre making a mistake ,2,positive
232,Sokka,  no  im keeping my promise to dad    im protecting you  from threats like him ,2,positive
233,Katara,  aang is not our enemy    dont you see  aangs brought us something we havent had in a long time  fun ,2,positive
234,Sokka,  fun   we cant fight firebenders with fun ,2,positive
235,Aang,  you should try it sometime ,2,positive
236,Sokka,  get out of our village  now ,2,positive
237,Katara,  grandmother  please  dont let sokka do this ,2,positive
239,Katara,  fine  then im banished  too    come on aang  lets go ,2,positive
240,Sokka,  where do you think youre going ,2,positive
241,Katara,  to find a waterbender  aang is taking me to the north pole ,2,positive
242,Aang,  i am    great ,2,positive
243,Sokka,katara  would you really choose him over your tribe    your own family ,2,positive
245,Aang,  katara  i dont want to come between you and your family ,2,positive
246,Katara,  so  youre leaving the south pole    this is goodbye ,2,positive
247,Aang,thanks for penguin sledding with me ,2,positive
248,Katara,  where will you go ,2,positive
249,Aang,guess ill go back home and look for the airbenders    wow  i havent cleaned my room in a hundred years  not looking forward to that    it was nice meeting everyone ,2,positive
250,Sokka,  lets see your bison fly now  air boy ,2,positive
251,Aang,  come on appa  you can do it  yip yip ,2,positive
253,Sokka,  yeah  i thought so ,2,positive
255,Aang,  ill miss you  too    come on  boy ,2,positive
258,Katara,  you happy now    there goes my one chance at becoming a waterbender ,2,positive
260,Sokka,all right  ready our defenses  the fire nation could be on our shores any moment now ,2,positive
262,Sokka,  and no potty breaks ,2,positive
264,Aang,  yeah  i liked her too    the village    appa  wait here ,2,positive
266,Sokka,  oh man ,2,positive
268,Sokka,  oh maaan    ,2,positive
270,Katara,  sokka  get out of the way ,2,positive
272,Zuko,  where are you hiding him ,2,positive
274,Zuko,  hed be about this age  master of all elements ,2,positive
276,Zuko,  i know youre hiding him ,2,positive
280,Aang,  hey  katara  hey  sokka ,2,positive
281,Sokka,  hi  aang  thanks for coming ,2,positive
283,Aang,looking for me ,2,positive
284,Zuko,  youre the airbender  youre the avatar ,2,positive
286,Katara,  aang ,2,positive
287,Sokka,  no way ,2,positive
289,Zuko,ive spent years preparing for this encounter  training  meditating    youre just a child ,2,positive
290,Aang,  well  youre just a teenager ,2,positive
292,Aang,if i go with you    will you promise to leave everyone alone ,2,positive
294,Katara,  no  aang  dont do this ,2,positive
295,Aang,  dont worry  katara  itll be okay    take care of appa for me until i get back ,2,positive
296,Zuko,  head a course for the fire nation  im going home ,2,positive
298,Katara,  we have to go after that ship  sokka  aang saved our tribe  now we have to save him ,2,positive
299,Sokka,katara  i   ,2,positive
300,Katara,  why cant you realize that hes on our side    if we dont help him  no one will  i know you dont like aang  but we owe him and   ,2,positive
301,Sokka,  katara    are you gonna talk all day  or are you comin with me ,2,positive
303,Katara,  sokka   ,2,positive
304,Sokka,  get in  were going to save your boyfriend ,2,positive
305,Katara,  hes not my   ,2,positive
306,Sokka,  whatever ,2,positive
310,Sokka,  yeah  okay gran   ,2,positive
313,Katara,  theres no way were going to catch a warship with a canoe ,2,positive
315,Katara,  appa   ,2,positive
316,Sokka,  you just looove taking me out of my comfort zone  dont you ,2,positive
318,Zuko,this staff will make an excellent gift for my father    i suppose you wouldnt know of fathers  being raised by monks    take the avatar to the prison hold    and take this to my quarters ,2,positive
320,Iroh,  hey  you mind taking this to his quarters for me ,2,positive
322,Aang,  so  i guess youve never fought an airbender before  i bet i could take you both with my hands tied behind my back ,2,positive
327,Sokka,  go  fly    soar ,2,positive
328,Katara,  please  appa  we need your help  aang needs your help ,2,positive
329,Sokka,  up  ascend  elevate ,2,positive
330,Katara,sokka doesnt believe you can fly  but i do  appa    come on  dont you want to save aang   ,2,positive
331,Sokka,what was it that kid said  yee haw  hup hup  wah hoo  uh     yip yip ,2,positive
333,Katara,  you did it  sokka ,2,positive
334,Sokka,  hes flying  hes flying  katara  hes  ,2,positive
336,Sokka,  i mean  big deal  hes flying   ,2,positive
338,Aang,you havent seen my staff around  have you ,2,positive
340,Aang,  thanks anyway ,2,positive
342,Aang,  sorry ,2,positive
344,Aang,my staff ,2,positive
346,Zuko,looks like i underestimated you ,2,positive
348,Zuko,  what is that ,2,positive
350,Aang,  appa ,2,positive
352,Katara,  aang  no ,2,positive
354,Katara,  aang  aang  aang ,2,positive
356,Katara,  did you see what he just did  ,2,positive
357,Sokka,  now that was some waterbending ,2,positive
359,Katara,  aang  are you okay ,2,positive
361,Aang,  hey  katara  hey  sokka  thanks for coming ,2,positive
362,Sokka,well  i couldnt let you have all the glory ,2,positive
363,Aang,  i dropped my staff ,2,positive
364,Sokka,  got it ,2,positive
366,Sokka,  ha  thats from the water tribe ,2,positive
368,Sokka,  katara ,2,positive
370,Katara,  hurry up  sokka ,2,positive
371,Sokka,  im just a guy  with a boomerang    i didnt ask for all this flying and magic    yip yip  yip yip ,2,positive
373,Iroh,  duh  huh ,2,positive
375,Zuko,  shoot them down ,2,positive
377,Iroh,  good news for the fire lord  the fire nations greatest threat is just a little kid ,2,positive
379,Zuko,  that  kid   uncle  just did this    i wont underestimate him again    dig the ship out and follow them ,2,positive
381,Zuko,  as soon as youre done with that ,2,positive
383,Katara,  how did you do that   with the water  it was the most amazing thing ive ever seen ,2,positive
384,Aang,  i dont know  i just sort of     did it ,2,positive
385,Katara,  why didnt you tell us you were the avatar ,2,positive
386,Aang,because       i never wanted to be ,2,positive
388,Katara,but aang  the worlds been waiting for the avatar to return and finally put an end to this war ,2,positive
389,Aang,  and how am i going to do that ,2,positive
390,Katara,according to legend  you need to first master water  then earth  then fire  right ,2,positive
391,Aang,  thats what the monks told me ,2,positive
392,Katara,  well  if we go to the north pole  you can master waterbending ,2,positive
393,Aang,  we can learn it together ,2,positive
394,Katara,  and sokka  im sure youll get to knock some firebender heads on the way ,2,positive
395,Sokka,  id like that  id reeally like that ,2,positive
396,Katara,  then were in this together ,2,positive
397,Aang,  all right  but before i learn waterbending  we have some serious business to attend to    here  here and here ,2,positive
399,Katara,  whats there   ,2,positive
400,Aang,  here  well ride the hopping llamas    then waaay over here  well surf on the backs of giant koi fish    then back over here  well ride the hog monkeys    they dont like people riding them  but thats what makes it fun ,2,positive
404,Aang,  wait til you see it  katara  the air temple is one of the most beautiful places in the world ,3,positive
405,Katara,  aang  i know youre excited    but its been a hundred years since youve been home ,3,positive
406,Aang,  thats why im so excited ,3,positive
407,Katara,  its just that     a lot can change in all that time ,3,positive
408,Aang,  i know  but i need to see it for myself ,3,positive
410,Aang,  wake up  sokka  air temple  here we come   ,3,positive
411,Sokka,  uggh  sleep now  temple later ,3,positive
413,Aang,  sokka  wake up    theres a prickle snake in your sleeping bag ,3,positive
414,Sokka,  ahh    get it off  get it off    ahh ,3,positive
416,Aang,  great  youre awake  lets go ,3,positive
418,Zuko,uncle  i want the repairs made as quickly as possible  i dont want to stay too long and risk losing his trail ,3,positive
419,Iroh,  you mean the avatar ,3,positive
420,Zuko,  dont mention his name on these docks    once word gets out that hes alive  every firebender will be out looking for him  and i dont want anyone getting in the way ,3,positive
423,Zuko,  captain zhao ,3,positive
425,Iroh,  retired general ,3,positive
427,Iroh,our ship is being repaired ,3,positive
430,Zuko,yes    you wouldnt believe what happened    uncle  tell commander zhao what happened ,3,positive
431,Iroh,  yes  i will do that    it was incredible    what  did we crash or something ,3,positive
432,Zuko,  yes  right into     an earth kingdom ship ,3,positive
434,Zuko,  sorry  but we have to go ,3,positive
436,Iroh,prince zuko  show commander zhao your respect    we would be honored to join you  do you have any ginseng tea  its my favorite ,3,positive
438,Sokka,  hey  stomach  be quiet  all right  im trying to find us some food ,3,positive
440,Sokka,  hey  who ate all of my blubbered seal jerky  ,3,positive
441,Aang,  oh  that was food    i used it to start the campfire last night    sorry ,3,positive
442,Sokka,  you what     no wonder the flames smelled so good ,3,positive
444,Aang,  the patola mountain range  were almost there ,3,positive
445,Katara,  aang  before we get to the temple  i want to talk to you about the airbenders ,3,positive
446,Aang,  what about em ,3,positive
447,Katara,  well  i just want you to be prepared for what you might see  the fire nation is ruthless    they killed my mother  and they could have done the same to your people ,3,positive
448,Aang,  just because no one has seen an airbender  doesnt mean the fire nation killed them all  they probably escaped ,3,positive
449,Katara,  i know its hard to accept ,3,positive
450,Aang,  you dont understand  katara  the only way to get to an airbender temple is on a flying bison  and i doubt the fire nation has any flying bison    right  appa ,3,positive
452,Aang,yip yip ,3,positive
454,Aang,  there it is  the southern air temple ,3,positive
455,Katara,aang  its amazing ,3,positive
457,Aang,  were home  buddy  were home   ,3,positive
460,Zuko,  if my father thinks the rest of the world will follow him willingly  then he is a fool ,3,positive
463,Iroh,eh   my fault  entirely ,3,positive
465,Zuko,  we havent found him yet ,3,positive
467,Zuko,  no    nothing ,3,positive
469,Zuko,i havent found   anything    its like you said  the avatar probably died a long time ago    come on  uncle  were going ,3,positive
474,Sokka,so where do i get something to eat ,3,positive
476,Katara,  youre lucky enough to be one of the first outsiders to ever visit an airbender temple  and all you can think about is food ,3,positive
478,Sokka,im just a simple guy  with simple needs ,3,positive
480,Aang,  so thats where my friends and i would play airball    and over there   is where the bison would sleep  and      ,3,positive
482,Katara,whats wrong ,3,positive
483,Aang,  this place used to be full of monks and lemurs and bison  now theres just a bunch of weeds    i cant believe how much things have changed ,3,positive
485,Sokka,  so uh  this airball game  how do you play ,3,positive
487,Aang,  aang  seven    sokka  zero ,3,positive
489,Sokka,  making him feel better is putting me in a world of hurt    katara  check this out ,3,positive
490,Katara,fire nation ,3,positive
491,Sokka,we should tell him ,3,positive
492,Katara,  aang  theres something you need to see ,3,positive
493,Aang,  okay ,3,positive
495,Aang,  what is it ,3,positive
497,Katara,  uh     just a new waterbending move i learned ,3,positive
498,Aang,nice one  but enough practicing    we have a whole temple to see ,3,positive
499,Sokka,  you know  you cant protect him forever ,3,positive
501,Sokka,  katara  firebenders were here  you cant pretend they werent ,3,positive
503,Katara,i can for aangs sake  if he finds out that the fire nation invaded his home  hell be devastated ,3,positive
504,Aang,  hey guys    i want you to meet somebody ,3,positive
506,Sokka,whos that ,3,positive
507,Aang,  monk gyatso  the greatest airbender in the world    he taught me everything i know ,3,positive
511,Aang,  hmm    ,3,positive
514,Aang,  this whole avatar thing  m maybe the monks made a mistake ,3,positive
517,Aang,  but gyatso  how do i know if im ready for this ,3,positive
520,Aang,  who is it ,3,positive
522,Aang,  all right ,3,positive
528,Katara,  you must miss him ,3,positive
529,Aang,  yeah   ,3,positive
530,Katara,  where are you going ,3,positive
531,Aang,  the air temple sanctuary  theres someone im ready to meet ,3,positive
533,Katara,but aang  no one could have survived in there for a hundred years ,3,positive
534,Aang,  its not impossible    i survived in the iceberg for that long ,3,positive
535,Katara,  good point ,3,positive
536,Aang,  katara  whoevers in there might help figure out this avatar thing ,3,positive
537,Sokka,  and whoevers in there might have   a medley of delicious   cured meats ,3,positive
539,Sokka,i dont suppose you have a key ,3,positive
540,Aang,  the key  sokka  is airbending ,3,positive
542,Aang,  hello    anyone home ,3,positive
545,Zuko,  i underestimated him once  but it will not happen again ,3,positive
547,Zuko,  commander zhao    ive been hunting the avatar for two years and i  ,3,positive
552,Iroh,  more tea  please ,3,positive
554,Sokka,  statues  thats it  wheres the meat ,3,positive
556,Katara,who are all these people ,3,positive
557,Aang,  im not sure    but it feels like i know them somehow  look    that ones an airbender ,3,positive
558,Katara,  and this ones a waterbender    theyre lined up in a pattern    air  water  earth and fire ,3,positive
559,Aang,thats the avatar cycle ,3,positive
560,Katara,  of course  theyre avatars  all these people are your past lives  aang ,3,positive
561,Aang,wow  there are so many ,3,positive
563,Sokka,  past lives    katara  you really believe in that stuff ,3,positive
564,Katara,its true    when the avatar dies  hes reincarnated into the next nation in the cycle ,3,positive
566,Katara,aang  snap out of it ,3,positive
568,Aang,  huh ,3,positive
569,Katara,  who is that ,3,positive
570,Aang,thats avatar roku  the avatar before me ,3,positive
572,Sokka,you were a firebender  no wonder i didnt trust you when we first met ,3,positive
573,Katara,  theres no writing  how do you know his name ,3,positive
574,Aang,im not sure  i just know it somehow ,3,positive
575,Sokka,  you just couldnt get any weirder ,3,positive
577,Sokka,  firebender  nobody make a sound ,3,positive
578,Katara,  youre making a sound ,3,positive
579,Aang and Sokka,  shhhh ,3,positive
581,Sokka,  that firebender wont know what hit him ,3,positive
583,Aang,  lemur ,3,positive
584,Sokka,  dinner ,3,positive
586,Aang,  dont listen to him  youre going to be my new pet ,3,positive
587,Sokka,  not if i get him first ,3,positive
589,Aang,wait  come back ,3,positive
591,Sokka,i want to eat you ,3,positive
593,Sokka,hey  no fair ,3,positive
596,Zuko,  why  are you worried im going to try and stop you ,3,positive
599,Zuko,  dont underestimate me  zhao  i will capture the avatar before you ,3,positive
600,Iroh,  prince zuko  thats enough ,3,positive
602,Zuko,  youre wrong  once i deliver the avatar to my father  he will welcome me home with honor  and restore my rightful place on the throne ,3,positive
604,Zuko,  thats not true ,3,positive
607,Zuko,  maybe youd like one to match ,3,positive
609,Zuko,an agni kai  at sunset ,3,positive
612,Iroh,  prince zuko  have you forgotten what happened last time you dueled a master ,3,positive
613,Zuko,  i will never forget ,3,positive
615,Aang,  hey  come back    come on out  little lemur  that hungry guy wont bother you anymore ,3,positive
617,Aang,  firebenders  they were here ,3,positive
619,Aang,  gyatso ,3,positive
621,Sokka,  hey  aang  you find my dinner yet    aang  i wasnt really going to eat the lemur  okay    oh  man    come on  aang  everything will be all right  lets get out of here ,3,positive
623,Katara,  aang ,3,positive
627,Sokka,  aang  come on  snap out of it ,3,positive
629,Sokka,aaaaahh ,3,positive
631,Katara,  what happened ,3,positive
632,Sokka,  he found out firebenders killed gyatso ,3,positive
633,Katara,oh no  its his avatar spirit    he must have triggered it  im going to try and calm him down   ,3,positive
634,Sokka,  well  do it  before he blows us off the mountain ,3,positive
636,Iroh,remember your firebending basics    prince zuko  they are your greatest weapons ,3,positive
637,Zuko,  i refuse to let him win ,3,positive
641,Iroh,basics  zuko    break his root ,3,positive
646,Zuko,  next time you get in my way  i promise  i wont hold back ,3,positive
648,Iroh,no  prince zuko  do not taint your victory    so this is how the great commander zhao acts in defeat    disgraceful    even in exile  my nephew is more honorable than you    thanks again for the tea  it was delicious ,3,positive
650,Zuko,  did you really mean that  uncle ,3,positive
651,Iroh,  of course  i told you ginseng tea is my favorite ,3,positive
653,Katara,  aang  i know youre upset and i know how hard it is to lose the people you love  i went through the same thing when i lost my mom    monk gyatso and the other airbenders may be gone    but you still have a family  sokka and i    were your family now ,3,positive
655,Sokka,  katara and i arent going to let anything happen to you  promise ,3,positive
657,Aang,  im sorry ,3,positive
658,Katara,its okay  it wasnt your fault ,3,positive
659,Aang,  but you were right  and if the firebenders found this temple  that means they found the other ones  too    i really am the last airbender ,3,positive
661,Katara,everythings packed  you ready to go ,3,positive
662,Aang,  how is roku supposed to help me if i cant talk to him ,3,positive
663,Katara,maybe youll find a way ,3,positive
665,Aang,looks like you made a new friend sokka ,3,positive
666,Sokka,  cant talk  must eat   ,3,positive
668,Aang,  hey  little guy ,3,positive
670,Aang,  you  me and appa    were all thats left of this place    we have to stick together  katara  sokka    say hello to the newest member of our family ,3,positive
671,Katara,  what are you going to name him ,3,positive
673,Aang,momo ,3,positive
677,Zuko,  the only reason you should be interrupting me  is if you have news about the avatar ,4,positive
678,Iroh,  well  there is news  prince zuko  but you might not like it  dont get too upset ,4,positive
679,Zuko,  uncle  you taught me that keeping a level head is a sign of a great leader  now  whatever you have to say  im sure i can take it ,4,positive
680,Iroh,  okay then    we have no idea where he is ,4,positive
682,Zuko,  what  ,4,positive
684,Iroh,you really should open a window in here ,4,positive
685,Zuko,  give me the map   ,4,positive
686,Iroh,well  there have been multiple sightings of the avatar  but he is impossible to track down ,4,positive
687,Zuko,  how am i going to find him  uncle    he is clearly a master of evasive maneuvering ,4,positive
689,Sokka,  you have no idea where youre going  do you ,4,positive
691,Aang,well       i know its near water ,4,positive
693,Sokka,  i guess were getting close then ,4,positive
695,Aang,momo  marbles please    hey katara  check out this airbending trick ,4,positive
697,Katara,  thats great  aang ,4,positive
698,Aang,  you didnt even look ,4,positive
699,Katara,  thats great ,4,positive
700,Aang,  but im not doing it now ,4,positive
701,Sokka,  stop bugging her  airhead  you need to give girls space when they do their sewing ,4,positive
702,Katara,  what does me being a girl have to do with sewing ,4,positive
703,Sokka,  simple  girls are better at fixing pants than guys and guys are better at hunting and fighting and stuff like that    its just the natural order of things ,4,positive
704,Katara,  all done with your pants    and look what a great job i did ,4,positive
706,Sokka,  wait  i was just kidding    i cant wear these  katara  please ,4,positive
707,Aang,  relax  sokka  where were going  you wont need any pants ,4,positive
709,Sokka,we just made a pit stop yesterday  shouldnt we get a little more flying done before we camp out ,4,positive
710,Katara,  hes right  at this rate  we wont get to the north pole until spring ,4,positive
711,Aang,  but appas tired  arent you boy ,4,positive
713,Aang,  i said  arent you boy ,4,positive
715,Sokka,  yeah  that was real convincing   still  hard to argue with a ten ton magical monster ,4,positive
716,Aang,  look ,4,positive
718,Aang,  thats why were here    elephant koi  and im gonna ride it  katara  youve got to watch me ,4,positive
720,Aang,cold ,4,positive
722,Aang,  hahaha  hahaha ,4,positive
723,Katara,  whooh ,4,positive
725,Katara,  he looks pretty good out there ,4,positive
726,Sokka,  are you kidding    the fish is doing all the work ,4,positive
727,Katara,  no  appa  dont eat that   ,4,positive
729,Aang,  oh man    ,4,positive
731,Sokka,  theres something in the water ,4,positive
733,Katara,  whats wrong ,4,positive
734,Sokka,aangs in trouble  aang ,4,positive
735,Katara,get out of there ,4,positive
737,Sokka,get back here  aang ,4,positive
739,Aang,  whaaaahh  aaaah ,4,positive
741,Aang,  whaaaahh ,4,positive
743,Katara,what was that thing ,4,positive
744,Aang,i dont know ,4,positive
745,Sokka,  well  lets not stick around to find out  time to hit the road ,4,positive
747,Sokka,or  we could stay a while ,4,positive
752,Sokka,  show yourselves  cowards ,4,positive
754,Sokka,  who are you  where are the men who ambushed us ,4,positive
756,Sokka,  wait a second    theres no way that a bunch of girls took us down ,4,positive
758,Katara,  no  dont hurt him  he didnt mean it  my brother is just an idiot sometimes   ,4,positive
